+----+----------------------------+-----------------------+--------------------------+--------------------------+-------------------------+--------------------+-----------------------+-------------------+
|Hour|avg_HourlyDryBulbTemperature|avg_HourlyPrecipitation|avg_HourlyRelativeHumidity|avg_HourlySeaLevelPressure|avg_HourlyStationPressure|avg_HourlyVisibility|avg_HourlyWindGustSpeed|avg_HourlyWindSpeed|
|Hour|var_HourlyDryBulbTemperature|var_HourlyPrecipitation|var_HourlyRelativeHumidity|var_HourlySeaLevelPressure|var_HourlyStationPressure|var_HourlyVisibility|var_HourlyWindGustSpeed|var_HourlyWindSpeed|
+----+----------------------------+-----------------------+--------------------------+--------------------------+-------------------------+--------------------+-----------------------+-------------------+
|   0|                      355.28|                    0.0|                    135.61|                      0.05|                     0.04|                9.21|                  29.28|               29.4|
|   1|                       345.8|                    0.0|                    128.51|                      0.05|                     0.05|                 9.8|                  35.37|              29.54|
|   2|                      347.24|                    0.0|                    121.86|                      0.05|                     0.05|                10.3|                  38.19|              29.12|
|   3|                       348.3|                    0.0|                    114.75|                      0.05|                     0.05|               10.73|                  28.11|              29.76|
|   4|                      353.11|                    0.0|                    108.37|                      0.05|                     0.05|               11.01|                  31.05|               29.7|
|   5|                      369.05|                    0.0|                    107.65|                      0.05|                     0.05|               11.12|                  33.93|              28.91|
|   6|                      407.48|                    0.0|                    127.97|                      0.05|                     0.05|               11.04|                  31.74|              27.95|
|   7|                       438.6|                    0.0|                    174.09|                      0.05|                     0.05|               10.83|                  29.32|              27.81|
|   8|                      443.21|                    0.0|                    224.49|                      0.05|                     0.05|                9.99|                  31.67|              28.55|
|   9|                       457.7|                    0.0|                    267.87|                      0.05|                     0.05|                9.29|                  31.43|              29.41|
|  10|                      462.64|                    0.0|                    300.35|                      0.05|                     0.05|                9.06|                  34.84|              31.24|
|  11|                      464.56|                    0.0|                    329.11|                      0.05|                     0.05|                8.69|                  37.12|              31.11|
|  12|                      480.16|                    0.0|                    340.73|                      0.05|                     0.05|                8.52|                  41.01|              33.56|
|  13|                      491.26|                    0.0|                     357.3|                      0.05|                     0.05|                8.41|                  37.83|              32.93|
|  14|                      480.98|                    0.0|                    367.87|                      0.05|                     0.05|                8.49|                  37.75|               31.5|
|  15|                      485.59|                    0.0|                    364.74|                      0.05|                     0.04|                8.89|                  40.53|              29.61|
|  16|                      477.77|                   0.01|                    354.69|                      0.05|                     0.05|                9.44|                  34.07|              28.31|
|  17|                      455.83|                    0.0|                    312.99|                      0.05|                     0.05|                8.45|                  36.88|              26.17|
|  18|                      428.02|                    0.0|                    259.08|                      0.05|                     0.04|                8.09|                  30.01|              26.28|
|  19|                       395.3|                    0.0|                    214.35|                      0.05|                     0.05|                7.79|                  35.47|              29.19|
|  20|                      381.95|                    0.0|                    189.97|                      0.05|                     0.05|                8.04|                  42.12|              31.45|
|  21|                       368.4|                    0.0|                    172.37|                      0.05|                     0.05|                8.83|                   35.8|              31.65|
|  22|                      362.37|                   0.01|                    155.47|                      0.05|                     0.05|                8.87|                  40.96|              31.36|
|  23|                      360.95|                    0.0|                    147.34|                      0.05|                     0.05|                8.88|                  35.55|               29.6|
+----+----------------------------+-----------------------+--------------------------+--------------------------+-------------------------+--------------------+-----------------------+-------------------+
